"","Duration (in seconds)","RecordedDate","ID","Age","Sex","Ethnicity_1","Ethnicity_4","Ethnicity_5","Ethnicity_6","Ethnicity_7","Ethnicity_8","Ethnicity_9","Ethnicity_10","Ethnicity_9_TEXT","Gaming","Physics","A-NQ1","A-NQ2","A-NQ3","A-NQ4","A-NQ5","A-NQ6","A-NQ7","A-NQ8","A-NQ9","A-NQ10","A-NQ11","A-NQ12","A-NQ13","A-NQ14","A-FQ1","A-FQ2","A-FQ3","A-FQ4","A-FQ5","A-FQ6","A-FQ7","A-FQ8","A-FQ9","AFQ10","A-FQ11","A-FQ12","A-FQ13","A-FQ14","SC0","FL_5_DO_NearQ1EcTLever1","FL_5_DO_NearQ2EcT-Lever2","FL_5_DO_NearQ3EcT-Pendulum1","FL_5_DO_NearQ4EcT-Pendulum2","FL_5_DO_NearQ5EcT-Ramp1","FL_5_DO_NearQ6EcT-Ramp2","FL_5_DO_NearQ7EcT-Springboard1","FL_5_DO_NearQ8EcT-Springboard2","FL_5_DO_NearQ9PoTLever-Distance1","FL_5_DO_NearQ10PoT-Lever-Distance2","FL_5_DO_NearQ11PoT-Lever-Mass1","FL_5_DO_NearQ12PoT-Lever-Mass2","FL_5_DO_NearQ13PoT-Springboard1","FL_5_DO_NearQ14PoT-Springboard2","FL_5_DO_FarQ1EcT-Lever1","FL_5_DO_FarQ2EcT-Lever2","FL_5_DO_FarQ3EcT-Pendulum1","FL_5_DO_FarQ4EcT-Pendulum2","FL_5_DO_FarQ5EcT-Ramp1","FL_5_DO_FarQ6EcT-Ramp2","FL_5_DO_FarQ7EcT-Springboard1","FL_5_DO_FarQ8EcT-Springboard2","FL_5_DO_FarQ9PoT-Lever-Distance","FL_5_DO_FarQ10PoT-Lever-Distance2","FL_5_DO_FarQ11PoT-Lever-Mass","FL_5_DO_FarQ12PoT-Lever-Mass2","FL_5_DO_FarQ13PoT-Springboard1","FL_5_DO_FarQ14PoT-Springboard2","Finished","NQcount","FQcount","FL5","ValidResponse","TotalReponses","StudyID","Score-A-NQ1","Score-A-NQ2","Score-A-NQ3","Score-A-NQ4","Score-A-NQ5","Score-A-NQ6","Score-A-NQ7","Score-A-NQ8","Score-A-NQ9","Score-A-NQ10","Score-A-NQ11","Score-A-NQ12","Score-A-NQ13","Score-A-NQ14","Score-A-FQ1","Score-A-FQ2","Score-A-FQ3","Score-A-FQ4","Score-A-FQ5","Score-A-FQ6","Score-A-FQ7","Score-A-FQ8","Score-A-FQ9","Score-AFQ10","Score-A-FQ11","Score-A-FQ12","Score-A-FQ13","Score-A-FQ14","Score-NearECT","Score-NearPOT","Score-FarECT","Score-FarPOT"
"1",660,2022-11-28 13:24:13,"D3317","12",1,NA,NA,NA,NA,NA,1,1,NA,"Part Hawaiian",2,1,1,1,4,2,3,1,2,1,2,1,2,2,2,2,1,3,3,3,2,3,1,2,1,2,1,1,2,3,17,16,7,18,12,25,13,2,10,6,23,9,14,5,26,3,19,15,8,17,1,11,28,27,4,21,24,20,22,TRUE,14,13,28,TRUE,55,"D3317",1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,2,3,3,3
"2",905,2022-11-28 13:25:38,"C3115","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,1,2,3,1,3,4,2,1,2,1,4,2,2,2,1,3,1,3,2,2,1,2,3,2,1,1,2,2,19,16,21,7,19,17,6,23,28,20,9,22,14,18,1,27,4,8,5,13,11,15,25,3,10,24,2,12,26,TRUE,14,13,28,TRUE,55,"C3115",1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,3
"3",757,2022-11-28 13:25:41,"E3384","13 years old",1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,3,1,3,1,2,2,4,4,3,2,3,1,1,3,1,4,2,3,1,3,1,3,4,4,4,2,10,21,26,5,19,2,24,4,13,14,12,7,23,1,11,3,18,16,22,17,9,6,27,28,25,20,8,10,15,TRUE,14,13,28,TRUE,55,"E3384",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3,0
"4",632,2022-11-28 13:25:47,"C3148","12",1,NA,1,NA,NA,NA,1,NA,NA,NA,4,1,1,2,1,1,3,2,2,1,2,2,2,3,4,2,1,3,1,4,2,3,1,3,2,2,1,3,3,1,18,9,23,27,21,12,26,11,17,10,25,4,22,3,2,8,1,24,28,5,18,6,20,19,13,15,7,14,16,TRUE,14,13,28,TRUE,55,"C3148",1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,3,2,3,2
"5",748,2022-11-28 13:26:43,"A3294","12",1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,1,2,2,1,1,1,2,1,1,3,2,2,2,2,1,3,3,3,2,2,1,2,3,2,2,3,3,2,22,10,14,3,7,5,13,17,15,23,9,22,11,24,21,28,26,2,1,8,25,19,16,20,27,6,18,4,12,TRUE,14,13,28,TRUE,55,"A3294",1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0
"6",564,2022-11-28 13:26:51,"E0224","13",1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,2,1,1,2,4,1,2,1,2,1,2,2,4,3,2,2,2,1,2,2,2,2,3,3,3,1,16,21,1,7,2,11,19,25,12,20,22,10,16,24,23,6,8,5,26,13,14,28,15,18,4,17,3,9,27,TRUE,14,13,28,TRUE,55,"E0224",0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1
"7",782,2022-11-28 13:26:56,"B3283","12",2,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,1,1,3,2,3,2,3,4,2,3,2,2,4,1,1,3,3,4,2,2,2,3,2,1,2,2,3,2,14,25,2,4,28,16,9,3,27,7,17,15,8,1,13,6,11,22,23,5,10,12,26,24,20,19,21,14,18,TRUE,14,13,28,TRUE,55,"B3283",1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,4,3,1
"8",819,2022-11-28 13:27:49,"D3418","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,1,3,3,2,3,3,2,1,4,3,2,2,2,2,1,3,3,2,2,4,3,2,2,1,4,3,3,2,20,24,11,6,22,13,20,21,17,2,23,27,4,25,16,15,28,8,26,3,19,7,1,10,14,9,12,5,18,TRUE,14,13,28,TRUE,55,"D3418",1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,3,1
"9",889,2022-11-28 13:28:08,"F3452","12",2,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,1,2,1,3,1,1,1,4,2,1,2,2,1,2,3,3,2,3,1,2,1,2,1,2,3,2,3,2,13,24,6,12,25,10,5,3,23,9,27,16,17,15,1,8,11,26,7,13,18,21,14,4,28,20,2,19,22,TRUE,14,13,28,TRUE,55,"F3452",1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,1,0
"10",1036,2022-11-28 13:28:26,"A3351","12",2,NA,1,NA,NA,NA,1,NA,NA,NA,2,1,1,4,1,1,4,4,2,3,2,3,2,2,1,2,3,3,3,3,2,2,4,4,3,2,1,3,3,2,17,22,18,20,4,2,7,3,27,28,13,26,17,10,9,5,25,6,14,8,1,23,16,19,11,21,15,24,12,TRUE,14,13,28,TRUE,55,"A3351",1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,4,2,1
"11",857,2022-11-28 13:28:40,"E3463","12",2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,3,1,2,3,3,4,1,2,2,3,2,3,2,4,2,4,1,2,2,1,2,4,3,2,14,21,13,3,17,18,2,9,10,5,27,1,19,24,22,4,25,14,6,20,8,28,26,11,7,12,15,23,16,TRUE,14,13,28,TRUE,55,"E3463",1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1
"12",771,2022-11-28 13:29:21,"C0066","14",2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,4,4,1,3,1,4,1,2,3,2,2,2,2,1,3,1,4,2,2,2,2,2,2,1,3,3,2,21,11,19,5,6,22,16,20,9,10,13,27,23,3,7,2,28,12,4,25,24,26,21,1,15,17,8,14,18,TRUE,14,13,28,TRUE,55,"C0066",1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1
"13",856,2022-11-28 13:29:39,"A3339","12",1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,4,3,1,1,2,1,2,2,4,2,2,2,2,3,1,4,2,1,1,2,1,2,1,2,3,2,16,21,13,15,3,9,4,24,20,2,7,5,19,28,17,12,11,18,1,26,25,10,23,22,27,14,16,8,6,TRUE,14,13,28,TRUE,55,"A3339",1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1
"14",943,2022-11-28 13:29:48,"A3430","12",1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,2,1,2,2,1,3,2,2,1,2,1,4,2,2,2,1,3,3,4,2,1,1,1,2,2,1,1,3,2,21,18,9,4,14,12,16,22,17,15,11,21,24,10,28,25,2,13,5,6,23,7,1,8,19,26,3,27,20,TRUE,14,13,28,TRUE,55,"A3430",1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2
"15",807,2022-11-28 13:30:00,"B0055","14",2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,3,2,2,1,2,3,1,2,2,1,1,3,3,3,2,3,2,3,3,2,3,2,3,2,18,27,23,1,25,18,13,3,5,2,15,19,17,14,21,20,12,26,11,28,24,9,16,22,6,7,10,4,8,TRUE,14,13,28,TRUE,55,"B0055",1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,3,4,0
"16",813,2022-11-28 13:30:13,"E0549","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,2,2,1,3,1,2,1,2,3,4,2,1,2,1,2,3,4,2,1,1,2,2,2,4,3,3,2,21,18,16,28,14,15,20,7,13,25,1,12,9,23,3,10,17,11,5,2,22,19,8,26,4,6,27,24,21,TRUE,14,13,28,TRUE,55,"E0549",1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0
"17",1059,2022-11-28 13:30:51,"C3104","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,1,2,3,3,1,2,1,1,1,2,3,2,2,1,3,2,4,2,4,1,2,2,2,1,3,3,2,19,14,18,6,5,12,13,22,9,21,4,1,10,27,19,28,17,15,11,20,16,24,2,25,26,3,23,7,8,TRUE,14,13,28,TRUE,55,"C3104",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"18",959,2022-11-28 13:31:18,"E3373","12",2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,4,1,3,2,2,1,2,3,4,2,4,4,1,3,2,3,2,3,1,1,3,3,1,3,3,1,16,6,8,13,25,12,18,2,3,7,14,9,24,16,10,15,17,5,20,26,19,21,28,4,1,22,11,23,27,TRUE,14,13,28,TRUE,55,"E3373",1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,2,2
"19",903,2022-11-28 13:31:23,"E0550","13",2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,3,1,2,1,2,3,2,2,2,2,1,2,3,3,2,2,1,2,2,2,1,2,3,1,23,14,12,21,17,25,23,26,1,28,8,2,5,20,24,16,4,7,19,27,6,15,9,10,11,18,13,22,3,TRUE,14,13,28,TRUE,55,"E0550",1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,4,3,2
"20",1143,2022-11-28 13:32:13,"C3429","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,2,1,1,3,4,2,1,2,3,4,2,2,2,1,3,3,3,2,3,1,2,2,2,1,4,3,2,22,12,25,15,13,20,1,19,9,5,26,10,4,2,6,17,27,18,8,16,11,21,28,3,24,22,7,14,23,TRUE,14,13,28,TRUE,55,"C3429",1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3,3,3,1
"21",850,2022-11-28 13:32:13,"B0190","13",1,NA,NA,1,NA,NA,1,NA,NA,NA,4,1,2,1,2,2,3,2,2,3,2,3,1,2,2,2,1,3,3,4,2,2,1,2,3,2,2,2,3,2,18,21,8,3,1,14,19,10,11,22,5,28,12,23,24,2,4,15,27,9,16,17,18,26,6,7,13,20,25,TRUE,14,13,28,TRUE,55,"B0190",0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
"22",1074,2022-11-28 13:32:37,"B3340","12",2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,1,1,1,3,4,3,1,2,3,4,2,2,2,1,3,3,2,2,2,1,2,2,2,4,2,3,2,21,23,8,2,19,15,24,6,4,12,11,3,26,21,9,16,1,25,22,10,27,14,20,5,28,17,13,7,18,TRUE,14,13,28,TRUE,55,"B3340",1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0
"23",1277,2022-11-28 13:33:23,"A3328","12",2,NA,NA,1,NA,NA,1,NA,NA,NA,4,1,1,2,2,1,4,1,2,1,2,1,2,2,2,4,2,3,3,3,2,4,1,2,2,2,2,2,3,3,18,23,18,22,1,3,27,13,6,21,8,19,17,12,7,4,15,14,16,24,9,11,5,28,2,25,26,10,20,TRUE,14,13,28,TRUE,55,"A3328",1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
"24",973,2022-11-28 13:33:33,"D0213","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,1,2,2,1,3,2,2,1,2,3,2,2,2,4,1,3,1,2,2,2,1,2,2,2,2,1,3,1,22,19,18,15,10,26,12,11,24,14,23,6,3,22,7,13,4,9,2,21,25,5,20,27,1,16,17,28,8,TRUE,14,13,28,TRUE,55,"D0213",1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,4,2,2
"25",1086,2022-11-28 13:33:47,"A0189","12",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,2,2,1,3,3,2,1,2,3,2,2,1,2,1,4,3,4,2,1,2,2,3,2,3,3,3,2,21,8,26,16,4,23,13,11,20,21,10,28,2,19,12,15,7,6,27,5,18,14,1,9,17,25,3,24,22,TRUE,14,13,28,TRUE,55,"A0189",1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
"26",1105,2022-11-28 13:34:51,"F0044","13",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,1,2,1,3,2,2,1,2,3,2,2,2,2,1,2,3,2,2,2,1,2,2,2,1,3,3,1,24,23,1,15,12,6,28,24,19,16,18,7,17,20,26,27,25,8,9,2,13,4,3,11,5,14,10,22,21,TRUE,14,13,28,TRUE,55,"F0044",1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,4,4,2
"27",1111,2022-11-28 13:35:01,"C0022","13",2,NA,NA,NA,1,NA,1,NA,NA,NA,3,1,1,2,4,1,3,1,3,1,1,3,2,2,2,2,2,3,2,2,2,2,1,3,1,2,4,2,3,1,17,21,27,15,11,7,22,3,23,10,18,14,24,16,13,4,6,8,9,25,26,1,17,20,5,2,19,12,28,TRUE,14,13,28,TRUE,55,"C0022",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,3,2,1
"28",1159,2022-11-28 13:36:02,"F0235","13",2,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,1,2,3,1,3,1,2,1,2,3,2,2,2,2,1,3,3,3,2,2,1,2,2,2,1,2,3,2,24,12,11,3,27,6,8,5,1,14,7,28,26,19,16,20,9,17,22,4,21,10,2,23,13,25,15,18,24,TRUE,14,13,28,TRUE,55,"F0235",1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,2,1
"29",1196,2022-11-28 13:36:37,"A0202","13",2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,1,2,2,1,3,3,2,1,2,3,2,2,2,2,2,4,1,4,2,3,2,2,3,2,1,3,3,2,21,16,4,18,15,28,13,27,26,5,17,23,20,14,11,22,21,7,3,12,6,19,25,2,10,9,1,8,24,TRUE,14,13,28,TRUE,55,"A0202",1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,4,1,1
"30",1294,2022-11-28 13:36:39,"D3137","12",1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,1,4,3,4,3,1,3,1,3,2,1,2,2,4,1,3,2,4,2,3,2,2,4,3,4,3,4,1,10,13,17,6,21,26,20,19,9,16,22,11,14,23,28,5,27,4,3,18,1,15,7,8,25,10,12,24,2,TRUE,14,13,28,TRUE,55,"D3137",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,2
"31",1224,2022-11-28 13:36:53,"B0088","14",2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,3,2,4,2,3,3,4,3,2,2,1,2,2,4,3,1,2,2,4,2,1,4,3,2,3,1,11,16,8,4,21,26,17,27,13,22,5,7,19,9,10,1,12,3,6,14,24,23,18,28,25,20,15,11,2,TRUE,14,13,28,TRUE,55,"B0088",1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,3,2,1
"32",1324,2022-11-28 13:38:43,"A0011","14",2,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,1,4,3,3,3,2,2,1,2,1,4,2,2,2,2,3,3,3,2,3,1,2,1,1,2,2,3,2,15,11,14,3,9,26,25,19,4,21,1,10,2,24,5,15,28,17,13,7,20,23,6,27,16,22,18,12,8,TRUE,14,13,28,TRUE,55,"A0011",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1
"33",1554,2022-11-28 13:39:38,"F3126","12",2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,2,2,3,1,2,1,2,3,2,4,1,2,1,4,2,3,2,3,1,2,2,2,1,3,3,2,20,9,6,19,27,11,22,13,3,20,4,5,15,8,21,14,26,25,28,12,7,10,18,23,17,2,1,16,24,TRUE,14,13,28,TRUE,55,"F3126",1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,2,1
"34",1446,2022-11-28 13:40:47,"D0077","12",1,NA,1,NA,NA,NA,1,NA,NA,NA,4,1,1,2,2,1,3,1,2,1,2,1,2,2,2,2,1,3,3,3,2,2,1,2,1,2,4,3,3,2,23,26,15,5,27,24,20,1,25,14,7,2,19,4,21,11,9,16,3,6,12,22,8,28,13,10,17,23,18,TRUE,14,13,28,TRUE,55,"D0077",1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
"35",2358,2022-11-28 13:55:02,"B3362","12 years old",2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,2,2,4,4,2,4,3,2,2,2,2,1,2,4,3,3,2,2,4,1,2,3,2,2,2,2,2,14,25,15,26,8,4,21,7,16,22,14,9,23,10,5,27,3,18,19,20,11,1,17,13,2,24,28,12,6,TRUE,14,13,28,TRUE,55,"B3362",0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3,2,1
"36",722,2022-11-28 14:18:32,"A3799","12",2,NA,NA,1,NA,NA,NA,NA,NA,NA,5,2,1,2,2,3,1,1,3,4,2,3,4,2,2,2,2,3,3,4,2,1,3,3,2,1,2,3,3,3,14,6,15,28,13,9,17,20,18,24,21,8,23,5,11,19,7,22,2,25,16,4,10,26,14,12,1,3,27,TRUE,14,13,28,TRUE,55,"A3799",1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,3,2,1
"37",765,2022-11-28 14:21:19,"A0527","14",1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,3,3,2,3,2,2,1,2,3,2,3,2,3,2,16,9,3,4,10,6,8,28,18,5,7,23,26,19,16,11,17,1,25,22,21,2,20,15,27,24,12,14,13,TRUE,14,13,28,TRUE,55,"A0527",1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
