#,Concept,New,Key,Near/Far,Form,HL Concept,ID
1,EcT-Lever,Yes,a,Near,A,EcT,A-NQ1
2,EcT-Lever,Yes,b,Near,A,EcT,A-NQ2
3,EcT-Pendulum,No,b,Near,A,EcT,A-NQ3
4,EcT-Pendulum,Yes,a,Near,A,EcT,A-NQ4
5,EcT-Ramp,No,c,Near,A,EcT,A-NQ5
6,EcT-Ramp,No,c,Near,A,EcT,A-NQ6
7,EcT-Springboard,No,b,Near,A,EcT,A-NQ7
8,EcT-Springboard,Yes,a,Near,A,EcT,A-NQ8
9,PoT-Lever-Distance,No,b,Near,A,PoT,A-NQ9
10,PoT-Lever-Distance,No,c,Near,A,PoT,A-NQ10
11,PoT-Lever-Mass,No,b,Near,A,PoT,A-NQ11
12,PoT-Lever-Mass,Yes,b,Near,A,PoT,A-NQ12
13,PoT-Springboard,Yes,b,Near,A,PoT,A-NQ13
14,PoT-Springboard,Yes,b,Near,A,PoT,A-NQ14
1,EcT-Lever,Yes,a,Near,B,EcT,B-NQ1
2,EcT-Lever,Yes,b,Near,B,EcT,B-NQ2
3,EcT-Pendulum,No,a,Near,B,EcT,B-NQ3
4,EcT-Pendulum,No,b,Near,B,EcT,B-NQ4
5,EcT-Ramp,No,a,Near,B,EcT,B-NQ5
6,EcT-Ramp,No,c,Near,B,EcT,B-NQ6
7,EcT-Springboard,No,a,Near,B,EcT,B-NQ7
8,EcT-Springboard,Yes,c,Near,B,EcT,B-NQ8
9,PoT-Lever-Distance,No,b,Near,B,PoT,B-NQ9
10,PoT-Lever-Distance,No,c,Near,B,PoT,B-NQ10
11,PoT-Lever-Mass,No,b,Near,B,PoT,B-NQ11
12,PoT-Lever-Mass,Yes,b,Near,B,PoT,B-NQ12
13,PoT-Springboard,Yes,c,Near,B,PoT,B-NQ13
14,PoT-Springboard,Yes,c,Near,B,PoT,B-NQ14
1,EcT-Lever,Yes,a,Far,A,EcT,A-FQ1
2,EcT-Lever,Yes,c,Far,A,EcT,A-FQ2
3,EcT-Pendulum,No,c,Far,A,EcT,A-FQ3
4,EcT-Pendulum,Yes,b,Far,A,EcT,A-FQ4
5,EcT-Ramp,Yes,b,Far,A,EcT,A-FQ5
6,EcT-Ramp,Yes,b,Far,A,EcT,A-FQ6
7,EcT-Springboard,No,a,Far,A,EcT,A-FQ7
8,EcT-Springboard,Yes,b,Far,A,EcT,A-FQ8
9,PoT-Lever-Distance,No,b,Far,A,PoT,A-FQ9
10,PoT-Lever-Distance,No,b,Far,A,PoT,A-FQ10
11,PoT-Lever-Mass,No,a,Far,A,PoT,A-FQ11
12,PoT-Lever-Mass,Yes,c,Far,A,PoT,A-FQ12
13,PoT-Springboard,No,c,Far,A,PoT,A-FQ13
14,PoT-Springboard,Yes,b,Far,A,PoT,A-FQ14
1,EcT-Lever,Yes,a,Far,B,EcT,B-FQ1
2,EcT-Lever,Yes,b,Far,B,EcT,B-FQ2
3,EcT-Pendulum,No,c,Far,B,EcT,B-FQ3
4,EcT-Pendulum,Yes,b,Far,B,EcT,B-FQ4
5,EcT-Ramp,Yes,a,Far,B,EcT,B-FQ5
6,EcT-Ramp,Yes,c,Far,B,EcT,B-FQ6
7,EcT-Springboard,No,d,Far,B,EcT,B-FQ7
8,EcT-Springboard,Yes,c,Far,B,EcT,B-FQ8
9,PoT-Lever-Distance,No,d,Far,B,PoT,B-FQ9
10,PoT-Lever-Distance,No,a,Far,B,PoT,B-FQ10
11,PoT-Lever-Mass,No,a,Far,B,PoT,B-FQ11
12,PoT-Lever-Mass,Yes,a,Far,B,PoT,B-FQ12
13,PoT-Springboard,No,b,Far,B,PoT,B-FQ13
14,PoT-Springboard,Yes,a,Far,B,PoT,B-FQ14